# Date of Measurement: 20220728
# Titration Curve
# 6.556 mL of 4 mM L-C16KK in 250mM NaCl
#
# Electrode: SKU-35811-72, APR 2022, Oakton Probe, pH/Temp all-in-one
# Meter: Oakton pH 6 Acorn Series
#
# Titrant: 20220725 0.1 M NaOH
# 
# Col 1, total added amount of 100mM NaOH (uL)
# Col 2, pH
# Col 3, wait time (min)
0     4.56    5
2.5   5.79    5
5     6.90    5
7.5   7.40    5
10    7.63    5
15    7.84    5
20    7.99    5
25    8.06    5
30    8.16    5
40    8.30    5
50    8.38    5
60    8.48    5
70    8.59    5
80    8.66    5
90    8.73    5
100   8.82    5
110   8.86    5
130   8.97    5
150   8.95    5
170   8.91    5
190   8.88    5
210   8.88    5
230   8.94    5
240   9.02    5
250   9.06    5
260   9.16    5
280   9.30    5
290   9.35    5
310   9.49    5
330   9.64    5
350   9.77    5
370   9.83    5
390   9.92    5
410   9.98    5
430   10.04   5
460   10.17   5
500   10.36   5
550   10.61   5
