# Volume Fraction = 0.001
# Energy [keV]  = 15.2
# Sample Info: 70% L- 30% D-C16K1 pH 8
# Date of Experiment: 20210730
,q,I,error
0,0.0022714000000000002,5.304203005400263,0.2767055261611169
1,0.0025122,4.021572432842286,0.09211621247846706
2,0.0027529,3.1413987060214263,0.037426773032028696
3,0.0029936999999999997,2.6586095994438823,0.05483430161833516
4,0.0032344,2.3175972967250567,0.03185393786857261
5,0.0034751999999999995,2.084720104814041,0.024415727350774494
6,0.0037159999999999997,1.9029460329250911,0.03422606202007292
7,0.0039567,1.7190988265883544,0.0290169831806213
8,0.0041975,1.5755162558281708,0.022825122248819715
9,0.0044382,1.4352466822063468,0.016844576800255223
10,0.004679,1.2625051920428787,0.015958500755897595
11,0.0049198,1.1301831083407605,0.012192706997428459
12,0.005160499999999999,0.983834356223515,0.010895102094144522
13,0.0054013,0.8640113613064911,0.011031947371829345
14,0.005642,0.7717927668644459,0.010690018665721987
15,0.0058828000000000005,0.6833048920609963,0.009929114853159678
16,0.006123600000000001,0.6227820376631042,0.009246792657491563
17,0.0063643,0.5585027822217171,0.009463416145064213
18,0.0066051,0.4982471617445613,0.007831557588708331
19,0.0068458,0.46642326116687144,0.008474812769087195
20,0.0070866,0.4207904208853162,0.00722853112820496
21,0.0073274,0.3957471202646445,0.00573975336423845
22,0.0075680999999999995,0.37204352403914237,0.006232562608392538
23,0.0078089,0.35330837885857064,0.006721791995753919
24,0.0080496,0.3356780310179617,0.00565145640508039
25,0.0082904,0.30985839644382945,0.006610525595998456
26,0.008531100000000002,0.2952013333906685,0.005991448805643095
27,0.0087719,0.2844555122949636,0.005121811385555832
28,0.0090127,0.27293347595911976,0.00538555400946735
29,0.009253399999999998,0.2567079986710841,0.00609793946734732
30,0.009494200000000001,0.24225385001776453,0.004292616514501644
31,0.0097349,0.233043910443675,0.0033982119851803804
32,0.0099757,0.22387335532980063,0.004724761981654042
33,0.010216,0.213430307151381,0.004170481018219182
34,0.010457,0.2071630955265304,0.004253198962705212
35,0.010698000000000001,0.1990455897093196,0.0036273821457711575
36,0.010939,0.19124999889389932,0.0029586271450241265
37,0.011179000000000001,0.1849104823766963,0.0024777956751420847
38,0.01142,0.1757121710063713,0.002609843726440765
39,0.011661,0.172552269608426,0.0031993706059679993
40,0.011902,0.16958696025092593,0.002056453997439164
41,0.012143000000000001,0.1608300106826873,0.0030504259138742526
42,0.012383,0.15584536301789378,0.002437704123777228
43,0.012624,0.150317582316346,0.0025175466037648388
44,0.012865000000000001,0.1472229589177883,0.003774053324896827
45,0.013106,0.14184487512993174,0.003096368514764547
46,0.013346,0.1361047874948682,0.0024224534333386182
47,0.013587,0.13240204048675752,0.0030629072618007075
48,0.013828,0.12778663671979937,0.002055135381655366
49,0.014069,0.12433814235995218,0.004211226044167696
50,0.014309,0.12284897599235703,0.00306376434606199
51,0.01455,0.11915253146279205,0.0027002848046460237
52,0.014791,0.11612411939594312,0.0016887167688778158
53,0.015031999999999998,0.11517050230139626,0.0036835743845844114
54,0.015271999999999999,0.11102281089274509,0.002844264514565022
55,0.015512999999999999,0.10678085365064377,0.0029679280068282345
56,0.015754,0.10769080032471083,0.0020826370131527827
57,0.015995,0.1052451028306411,0.001153136274537478
58,0.016235,0.10098041988218955,0.002103645387387912
59,0.016475999999999998,0.09913609514242032,0.0013198534014189217
60,0.016717,0.09295543969563748,0.002256985086462721
61,0.016958,0.08856429167964705,0.0028762072187525625
62,0.017197999999999998,0.08471401529935439,0.002811681402351515
63,0.017439,0.0811794471000977,0.0023727542513185818
64,0.01768,0.08032925582906776,0.0013518925076432867
65,0.017921,0.07797343459718478,0.002292925485111721
66,0.018162,0.07416196082101316,0.0014425662046417505
67,0.018402,0.07160469124033055,0.0017678302910162059
68,0.018643,0.0703462927365244,0.0009696572041073214
69,0.018884,0.06634927784576523,0.0015695876292877134
70,0.019125,0.06552232817233898,0.0011545599341244042
71,0.019365,0.06211082663787365,0.0012763299253659066
72,0.019606000000000002,0.06025421433832976,0.002497877507442401
73,0.019847,0.058001616898019026,0.0014438760352611577
74,0.020087999999999998,0.05521807367382,0.002035791397554424
75,0.020328,0.054036864662332505,0.0018977568750155947
76,0.020569,0.050729633044036,0.0014371287197936886
77,0.02081,0.04818295370040725,0.0018662313788924342
78,0.021051,0.047028419528414474,0.0018098759389293946
79,0.021291,0.045704127835829375,0.0011992754073704176
80,0.021532,0.04345243960505903,0.0017465989423343274
81,0.021773,0.04161543596846188,0.0011215710372139154
82,0.022014,0.0416482038569048,0.0006874555303643641
83,0.022254,0.04032773680929504,0.0009619928412381241
84,0.022494999999999998,0.03681264431991292,0.0015268677969662203
85,0.022736000000000003,0.035102810516172256,0.0019316003647919773
86,0.022977,0.03516999659828602,0.0011776869281176496
87,0.023216999999999998,0.034289633737167334,0.0017803616887248882
88,0.023458,0.03306002528986038,0.001390090948009837
89,0.023699,0.032511154393831225,0.0015167814846145393
90,0.02394,0.03128659860186386,0.0007560473555030143
91,0.02418,0.029446995260483482,0.0011469929275671946
92,0.024421,0.02983877179470297,0.0014396346167346826
93,0.024662,0.029486900392648705,0.0009165368839839228
94,0.024903,0.028814853241303732,0.0014606066668252093
95,0.025144,0.027028869929496765,0.00072763844027307
96,0.025384,0.027397166840054915,0.0015823864734306756
97,0.025625,0.02667126451319267,0.0015192753164825433
98,0.025866000000000004,0.026524576938343446,0.0010190250309933336
99,0.026106999999999998,0.026150544653887824,0.0015578601859569446
100,0.026347000000000002,0.025909397503108545,0.00137676445060919
