,q,I,sigma
11,0.00783013897,0.1807807220000004,0.05441509129999983
12,0.008541969790000001,0.17546107450000004,0.035134686000000026
13,0.0092538006,0.17477533000000012,0.02436210160000002
14,0.009965631420000001,0.1483544310499999,0.020610482900000004
15,0.010677462199999994,0.1204936271999999,0.01449904519499999
16,0.011389293100000001,0.09526613864999989,0.011225425090000005
17,0.012101123900000003,0.08189234825000002,0.008937776815000006
18,0.012812954699999995,0.07788512355000005,0.008572374485000006
19,0.0135247855,0.07247614610000003,0.008271517800000003
20,0.014236616300000001,0.06294321120000002,0.006824346495000008
21,0.014948447100000001,0.05539176940000007,0.006018499119999993
22,0.015660277900000002,0.0503609087500001,0.005230076759999997
23,0.016372108800000004,0.04788652405000002,0.004894609360000003
24,0.017083939599999994,0.046602502599999984,0.004901473479999998
25,0.0177957704,0.04330668629999995,0.004198801084999997
26,0.0185076012,0.04072621365000004,0.004062051154999998
27,0.019219431999999995,0.036381543949999956,0.0035293983750000063
28,0.01993126280000001,0.03302435415000002,0.003217141685000006
29,0.0206430937,0.030979686899999956,0.0029341012099999998
30,0.021354924499999997,0.027908851900000003,0.0025588617965000005
31,0.022066755300000004,0.025138692355000006,0.0023300986650000004
32,0.022778586099999998,0.022133286525000004,0.0020263098459999997
33,0.02349041689999999,0.018658330605000023,0.0017125664975
34,0.024202247700000006,0.016267547575,0.0014715486340000005
35,0.024914078499999995,0.014452517425000005,0.001242585078499999
36,0.02562590939999999,0.012929769929999974,0.0011506320470000006
37,0.026337740200000008,0.01109852772500003,0.0009512141435000007
38,0.027049571,0.010023998305000018,0.0008623048059999989
39,0.02776140179999999,0.00877283887999998,0.0007122909610000018
40,0.028473232600000002,0.008115107975000008,0.0006236067025000023
41,0.0291850634,0.0076379377200000015,0.0005862465310000004
42,0.029896894299999987,0.006864982219999982,0.0005043395254999998
43,0.030608725100000005,0.006438425084999991,0.00046679545550000045
44,0.031320555900000005,0.006198247699999999,0.00044263607399999943
45,0.032032386699999985,0.00571914451000001,0.00039413142949999876
46,0.0327442175,0.005528302199999988,0.00038062023000000073
47,0.0334560483,0.005104244874999983,0.00034865242399999925
48,0.03416787919999999,0.004855424424999984,0.00034132844149999987
49,0.03487971,0.004922963449999998,0.0003445728815000006
50,0.0355915408,0.004268639409999997,0.0002923513465000007
51,0.036303371599999995,0.004426725294999996,0.00031018287750000104
52,0.0370152024,0.004296351205000007,0.0002872927845000003
53,0.0377270332,0.004091790344999992,0.0002808387830000002
54,0.03843886399999999,0.004038017539999987,0.00027305562650000023
55,0.039150694900000005,0.0037993634600000104,0.0002496866935000003
56,0.039862525700000005,0.0037211146200000003,0.0002497043985000011
57,0.04057435649999999,0.0035324297650000044,0.0002205132125000001
58,0.0412861873,0.0032194328300000005,0.00019989188150000082
59,0.041998018100000006,0.0029990579500000086,0.00018052317949999877
60,0.042709848899999986,0.0028208085550000123,0.0001656713245000007
61,0.0434216798,0.002875536824999997,0.0001734136904999995
62,0.04413351060000001,0.0022178121900000014,0.00012678637799999962
63,0.04484534139999999,0.0022504469900000088,0.00013075768350000053
64,0.045557172199999996,0.00214104653999999,0.00012057305800000032
65,0.04626900300000001,0.001809550694999995,0.00010286114499999995
66,0.04698083379999998,0.0018590662999999966,0.00010518919899999996
67,0.0476926647,0.0015462381250000157,8.550952700000017e-05
68,0.04840449550000001,0.0014882874299999987,8.26440779999999e-05
69,0.049116326299999985,0.0013073692699999903,7.251550149999907e-05
70,0.0498281571,0.0012935034700000056,6.973977349999981e-05
71,0.050539987900000014,0.0011354915300000046,6.154065949999944e-05
72,0.05125181869999997,0.001216842589999989,6.381887849999952e-05
73,0.0519636495,0.0011307474650000052,5.947913900000018e-05
74,0.052675480400000016,0.001014037629999999,5.410170249999999e-05
