# Volume Fraction = 0.01
# Energy [keV]  = 17
# Sample Info: 60mM c10k1 pH 9 50mM NaCl
# Date of Experiment: 20230209
,q,I,error
0,0.0025405000000000002,4.735295347750147,1.625767696481812
1,0.0028098000000000003,3.310400397366816,1.0861829974367712
2,0.0030791,2.4764608134881683,0.7951804322838314
3,0.0033483000000000002,1.7988682511067118,0.5606640324834118
4,0.0036176000000000003,1.3108516978128013,0.3875095993746072
5,0.0038869,1.0105030528326224,0.2975479566946223
6,0.0041562,0.7961856282583909,0.22359809631102767
7,0.004425500000000001,0.6450491186415276,0.19107039675810222
8,0.0046948,0.5067033289304885,0.14016566525765609
9,0.004964,0.4313376107466491,0.11425038605345973
10,0.0052333,0.34644505183207436,0.09331397663170346
11,0.005502600000000001,0.28948877814823043,0.07741782118727404
12,0.005771899999999999,0.2523118596599449,0.06617762223234283
13,0.0060412,0.21308417465772977,0.05603019119368399
14,0.0063104,0.18154059749964052,0.04757797364211528
15,0.0065797,0.16619333391654728,0.04358969267376119
16,0.006848999999999999,0.13744828613872306,0.034526483857237694
17,0.007118300000000001,0.12277908695485727,0.02809512800281903
18,0.0073876,0.11157139448267454,0.030225324318652266
19,0.0076569,0.10156252599204572,0.027931632680926292
20,0.0079261,0.0929828123643531,0.02650667096362007
21,0.008195399999999999,0.07832157237010628,0.021056039519442238
22,0.0084647,0.07412769910304526,0.0184888810966436
23,0.008734,0.06625031899464734,0.015655506113977976
24,0.009003299999999999,0.061565407586535996,0.014243039095711
25,0.0092725,0.057100483288041896,0.012156759295514087
26,0.0095418,0.052349800683221204,0.01023201269670896
27,0.0098111,0.04700804389432883,0.011088146138232082
28,0.01008,0.04134773726711208,0.005488649695134067
29,0.01035,0.041482059321375685,0.008714690893482795
30,0.010619,0.03669992680597176,0.008091278165492178
31,0.010888,0.03324204047319786,0.007783149614377007
32,0.011158,0.03399442434931336,0.007422299039082652
33,0.011427,0.030240507664044913,0.007387203463445133
34,0.011696,0.02773455287348976,0.007224513579899031
35,0.011965,0.0280219937917745,0.006088658167093663
36,0.012235,0.026619337421562857,0.0058147385885400985
37,0.012504000000000001,0.023859816183654025,0.003984938223541495
38,0.012773,0.022601341197733323,0.003703882886457695
39,0.013041999999999998,0.02243028505529041,0.005433395974634034
40,0.013312000000000001,0.021559094194644222,0.004827843372691565
41,0.013581000000000001,0.021555385628525423,0.005174360824349255
42,0.01385,0.019805090574963033,0.00354105349243312
43,0.014119999999999999,0.018088366628330885,0.004437594731678251
44,0.014388999999999999,0.01803882540566649,0.004605534311417914
45,0.014658000000000001,0.016651864007095243,0.003966556604375311
46,0.014927000000000001,0.017731890410754125,0.0045178406069458985
47,0.015197,0.016359718595138562,0.003555168586216513
48,0.015465999999999999,0.014154365782020886,0.003601748756490461
49,0.015735,0.014141682109629154,0.003365582284342675
50,0.016005000000000002,0.014345523904922577,0.003642495306645136
51,0.016274,0.014067444940803328,0.003761220744138678
52,0.016543000000000002,0.013707562345279136,0.0035686203688178966
