,q,I,sigma
440,0.31320555899999997,0.00023538582499999655,5.522028999999985e-06
441,0.3139173900000001,0.00022703015000000853,5.555765050000209e-06
442,0.31462922099999996,0.00020161036500000035,4.871682950000197e-06
443,0.315341051,0.00023166381999999847,5.620138299999942e-06
444,0.31605288200000003,0.00020553697000000315,4.978666049999976e-06
445,0.31676471300000014,0.00027915941499999375,6.959578000000251e-06
446,0.3174765439999999,0.00019298977499999925,5.082078849999775e-06
447,0.318188375,0.0002553371349999986,6.5957431499996276e-06
448,0.31890020500000005,0.00021408789499999248,5.511923150000272e-06
449,0.31961203599999993,0.000212987590000005,5.404124250000348e-06
450,0.320323867,0.00024900537499999986,6.356032599999528e-06
451,0.3210356980000001,0.00030199771000000153,7.945964300000072e-06
452,0.32174752899999987,0.0002888963300000033,7.410195199999839e-06
453,0.3224593599999999,0.00023132993500000337,6.196555200000103e-06
454,0.32317119,0.00018910151999999847,4.94289354999991e-06
455,0.32388302100000005,0.00023236006999998587,6.45323855000008e-06
456,0.32459485199999993,0.0002385170600000125,6.207617849999505e-06
457,0.325306683,0.00027693203999999694,7.5757448999999805e-06
458,0.32601851400000004,0.00020407402499999366,5.516321949999869e-06
459,0.32673034399999984,0.0002733452749999962,7.2613681499997945e-06
460,0.32744217499999995,0.0003130562850000018,8.459868149999854e-06
461,0.32815400600000005,0.00028938262499999395,8.006226949999556e-06
462,0.3288658370000001,0.00027143661500000915,7.587843500000079e-06
463,0.3295776679999999,0.000183564009999998,5.1081069000001155e-06
464,0.330289498,0.00020258563000000174,5.621502550000237e-06
465,0.3310013290000001,0.00019415237499999932,5.187709050000059e-06
466,0.3317131599999999,0.00014788664999999118,3.893338899999682e-06
467,0.33242499099999995,0.00025918398500000134,7.093552400000099e-06
468,0.33313682200000005,0.00030174153999998343,8.102733999999952e-06
469,0.33384865300000016,0.00028302980499999436,7.622461950000377e-06
470,0.33456048299999996,0.00020208084000000043,5.493958449999674e-06
471,0.33527231399999996,0.00020709974999999492,5.4992044499997455e-06
472,0.33598414500000007,0.00018063653000000013,5.155463999999732e-06
473,0.3366959759999999,0.00022854451999999165,6.16698119999988e-06
474,0.337407807,0.00019361606499999212,5.14793870000016e-06
475,0.3381196370000001,0.00022884853999999982,6.0932526000001454e-06
476,0.33883146800000014,0.0002519769250000081,6.632223000000207e-06
477,0.33954329899999985,0.0001778607049999978,4.834843499999992e-06
478,0.34025513,0.00023841804500000785,6.398616850000131e-06
479,0.3409669610000001,0.00020546950000000647,5.483751049999998e-06
480,0.34167879199999995,0.00022856332500000714,6.1497145000000706e-06
481,0.342390622,0.00026844819999999325,7.120278949999926e-06
482,0.3431024530000001,0.0003228977450000156,8.575049749999833e-06
483,0.3438142839999998,0.00021520225499999102,5.777310900000401e-06
484,0.3445261149999999,0.00029319014499998297,7.860127649999779e-06
485,0.3452379460000001,0.0002254726800000051,6.174018800000035e-06
486,0.3459497760000001,0.00028097847000000536,7.494493199999971e-06
487,0.3466616069999999,0.0002289051599999939,6.1358108999997035e-06
488,0.347373438,0.0002783779350000043,7.392275199999887e-06
489,0.34808526900000003,0.00023324453500001008,6.140867800000119e-06
490,0.34879709999999986,0.00017837534000000183,4.856680849999774e-06
491,0.34950893099999997,0.0001722482699999875,4.463454000000152e-06
