# Volume Fraction = 0.002
# Energy [keV]  = 15
# Sample Info: L-C12K1 pH 5
# Date of Experiment: 20201212
,q,I,error
0,0.0022419000000000002,0.024704242366082877,0.10322826320045382
2,0.0027177,0.008843398055893218,0.041488526029630775
3,0.0029557,0.029866852341912123,0.04051991607916195
4,0.0031936,0.035045890165401654,0.02071964144852674
5,0.0034314999999999997,0.026602172863068655,0.0160981113703492
6,0.0036694,0.026865604721876317,0.019428563912408034
7,0.0039073,0.022689728448099432,0.015493316116788308
8,0.0041453,0.01852290944054266,0.01150281005965427
9,0.0043832,0.025624271150844487,0.011262263534101128
10,0.0046211,0.02669562790782536,0.005759673116878594
11,0.0048590000000000005,0.013836450000707781,0.011159670219758592
12,0.005097,0.0064581051901742795,0.0069112276360382115
13,0.0053349,0.011152114277298697,0.010065735899745435
14,0.0055728,0.005976013711381425,0.004616910914276371
15,0.0058107,0.007112389567320046,0.006821025488354513
16,0.0060487,0.004896703253685054,0.008589759678782772
17,0.006286600000000001,0.005827902281697234,0.007497017277833273
18,0.006524500000000001,0.002693855672680579,0.006555773423704807
19,0.006762399999999999,0.004649057204820163,0.005978464053961133
20,0.0070003,0.00606791723719247,0.006068981691863994
21,0.0072383,0.005297828664312408,0.00447430148759857
22,0.0074762,0.0043834205255301835,0.003781572044149651
23,0.007714100000000001,0.005057253405996129,0.005302568096243102
24,0.007951999999999999,0.003942719540337454,0.004139735289512183
25,0.008190000000000001,0.00436487739031307,0.0044834733474248736
26,0.0084279,0.0045666831592049255,0.004300367986178293
27,0.0086658,0.0020706750336831324,0.0050063418409207455
28,0.0089037,0.0041520547394067325,0.004178028009097479
29,0.0091417,0.004848590859127984,0.0016423405301230476
30,0.0093796,0.0021817403383414613,0.0027418364289687534
31,0.0096175,0.002329672702175717,0.0029082458546617744
32,0.0098554,0.00361860110969487,0.00349551926519674
33,0.010093000000000001,0.00376941845542563,0.002049573285929192
34,0.010331,0.0024447300200258993,0.0034167636053080617
35,0.010569,0.0010817503743108514,0.0012658463815707814
36,0.010806999999999999,0.0029467870522799327,0.0023844961787227083
37,0.011045000000000001,0.0017192900727686289,0.002176440237064298
38,0.011283,0.0021454353148819025,0.0035685051366491885
39,0.011521,0.002217047214095118,0.0019382834900503786
40,0.011759,0.0026618710460765585,0.0032202073436929874
41,0.011997,0.0026391709837960235,0.0022597805760685014
42,0.012235,0.0021900989589308043,0.002017807330913945
43,0.012473,0.0020876992861498357,0.002279439187778907
44,0.012709999999999999,0.0035353427098332602,0.0018665768928577684
45,0.012948,0.0035816459616733903,0.0024483584988791197
46,0.013186000000000002,0.0014719195542600078,0.0022012350158712164
47,0.013424,0.00022475565691476907,0.0019760394890544746
48,0.013662,0.0014347599245904525,0.0014292299524661064
49,0.0139,0.0021104097458023007,0.0024634228693103835
50,0.014138,0.002659210762940238,0.002577900176451815
51,0.014376,0.0017786922803535183,0.001707315460612666
52,0.014613999999999999,0.0020644395275616367,0.0017621242577378592
53,0.014852,0.0015526748734726605,0.002892824917578753
54,0.015090000000000001,0.002364111339609454,0.002125831797369044
55,0.015328,0.00244980584371582,0.0008459923056474647
56,0.015566,0.0018096154219275804,0.0019052779907178655
58,0.016041,0.0007637114892106956,0.0015086730600743189
59,0.016279,0.0004793906170243424,0.0018718326696064117
60,0.016517,0.000572714423841861,0.0020592601459761403
61,0.016755000000000003,0.0005350372361025776,0.00201014697110531
62,0.016993,0.0005231113638465372,0.0016748968977766865
63,0.017231,0.00031384126387823825,0.0015269264044273758
64,0.017469,0.001741185031882208,0.0009501607913230586
65,0.017707,0.0014823995564219074,0.002510384417641772
66,0.017945,0.002285484015853184,0.0019908199052866833
67,0.018183,0.0024816672036992162,0.0012297306450875544
68,0.018421,0.0018874744665425193,0.0016696587578451283
69,0.018659000000000002,0.0012105937409013095,0.001484710135057045
70,0.018896,0.0013993146193820999,0.0017565338831936398
71,0.019134,0.0008431966539149401,0.0017294151113509794
72,0.019372,0.0010739357384449107,0.002260374154893489
73,0.01961,0.0012625941171677307,0.0016547054927833196
74,0.019847999999999998,0.001987688987203078,0.0019055480328561936
76,0.020324000000000002,0.0015749749257495292,0.001804808858991742
77,0.020562,0.0004805557580761949,0.0013219341226148541
78,0.0208,0.0007434157614273152,0.0011658718565662658
79,0.021038,0.000257574412682403,0.0019644762787375328
80,0.021276,0.0005834703895839078,0.0006477997595535699
81,0.021514,0.0012929586021713229,0.0012869361679937832
82,0.021752,0.0007189990930400513,0.0014318547248428233
83,0.021988999999999998,0.0012852481710774572,0.0014170832308103153
84,0.022227,0.0021440308898675667,0.0012589397232483505
85,0.022465,0.0007190479895697394,0.0022194124581929884
86,0.022703,0.0015567753081485647,0.0018544457972005759
87,0.022941,0.0007878866208715757,0.0008945506484957466
89,0.023417,0.0011912715248286593,0.002070465517897191
91,0.023893,0.0001940677269991805,0.0020105550607303914
92,0.024131,0.0001939071742475292,0.001549916232933695
93,0.024369,0.0005441134775266617,0.0014504990499469683
94,0.024607,0.0018806071756679445,0.0015452400938398012
95,0.024845,0.00119885906476257,0.0006132161355158925
96,0.025082,0.0016481296794317662,0.0013335108867855508
97,0.02532,0.0009016433719004545,0.0009644931906942543
98,0.025558,0.0008998192974021212,0.0015516475331908007
101,0.026272000000000004,0.0002954531939109073,0.0017674918871821294
102,0.026510000000000002,0.0015886764958427892,0.0005928476286055726
103,0.026748,0.0007391461384047366,0.0013330091632167082
104,0.026986000000000003,0.00020014958306870735,0.0012175914299385239
105,0.027224,0.000586972195570548,0.0015736797732794057
