,q,I,sigma
11,0.00783013897,0.1988584624999994,0.059079561099999955
12,0.008541969790000001,0.20414430800000072,0.040907173249999984
13,0.0092538006,0.22130541149999994,0.03070789230000001
14,0.009965631420000001,0.20571310170000023,0.028081806899999992
15,0.010677462199999994,0.18485909185000005,0.021435479065000013
16,0.011389293100000001,0.17309651100000012,0.01983112376
17,0.012101123900000003,0.16886990210000014,0.018208539270000018
18,0.012812954699999995,0.15876829940000015,0.01725365436000001
19,0.0135247855,0.15323515840000013,0.017180011704999998
20,0.014236616300000001,0.14805700650000003,0.015785991174999993
21,0.014948447100000001,0.14031797225000006,0.015067937994999996
22,0.015660277900000002,0.13368473300000006,0.013824748770000003
23,0.016372108800000004,0.12544036400000003,0.012840585070000004
24,0.017083939599999994,0.11389058234999994,0.011996318435
25,0.0177957704,0.10313551974999996,0.01004776421
26,0.0185076012,0.08884878549999994,0.008873101710000001
27,0.019219431999999995,0.07464042285000003,0.007259395299999999
28,0.01993126280000001,0.06153991800000001,0.006002239565000005
29,0.0206430937,0.051447623699999986,0.004882830024999998
30,0.021354924499999997,0.04254520482999999,0.0039107304690000014
31,0.022066755300000004,0.036140379885000073,0.003347334102500002
32,0.022778586099999998,0.03138387923500002,0.0028597346070000015
33,0.02349041689999999,0.027957068269999955,0.002554151876500002
34,0.024202247700000006,0.025153328645,0.0022672135675000024
35,0.024914078499999995,0.022695302155,0.0019459784295000017
36,0.02562590939999999,0.021693472830000005,0.0019224916475000017
37,0.026337740200000008,0.02048776184999998,0.0017526615859999976
38,0.027049571,0.019429519804999976,0.00165973627
39,0.02776140179999999,0.019811358784999997,0.001603453094500001
40,0.028473232600000002,0.0197093121,0.0015165051989999992
41,0.0291850634,0.01950249487000001,0.001502702826
42,0.029896894299999987,0.018994782885,0.0013979263724999986
43,0.030608725100000005,0.01862408826500002,0.0013551241824999996
44,0.031320555900000005,0.018482000659999998,0.0013207630869999983
45,0.032032386699999985,0.018080358744999997,0.0012491588290000004
46,0.0327442175,0.01746720005000002,0.0012110319335000004
47,0.0334560483,0.016598660455000004,0.001139916782500001
48,0.03416787919999999,0.016154986035,0.0011390180279999998
49,0.03487971,0.015488188820000012,0.0010885410155000007
50,0.0355915408,0.014662614524999992,0.0010079854589999998
51,0.036303371599999995,0.013499153514999987,0.0009527593999999998
